variant,description,tokenizer,stemming,lemmatization,advanced_normalization,training_rows,validation_rows,train_time_sec,accuracy,precision,recall,f1,macro_f1,roc_auc,stage,model,analyzer,ngram_range,min_df,max_features,svd_n_components,prediction_time_sec,scoring_time_sec,parameter_count,C,macro_precision,macro_recall,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,alpha,hidden_layer_sizes,learning_rate_init,embedding_dim,hidden_dim,dropout,learning_rate,batch_size,max_epochs,patience,max_sequence_length,max_vocab_size,split,rows,tweets_per_second,run_timestamp_utc,random_state,selected_preprocessing_variant,device
,,,,,,1280000,,76.51394695800002,0.7951,0.7897255902999362,0.804375,0.7969829828342126,0.7950823718329634,0.8741275970312501,validation_search,Logistic Regression,char_wb,"(3, 5)",5.0,20000.0,,0.09276262499997756,0.02140466599996671,20001.0,0.5,0.7952015796015448,0.7950999999999999,0.8006775689031534,0.785825,0.7931817608317141,0.7897255902999362,0.804375,0.7969829828342126,,,,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,200000,,21.65251795800009,0.76019375,0.7674929642623077,0.74655,0.7568766355969255,0.7601491012961166,0.8408432218749999,validation_search,MLP Neural Baseline,word,"(1, 2)",5.0,5000.0,300.0,0.14251754199995048,0.10320937500000582,38657.0,,0.7603876366278259,0.76019375,0.7532823089933441,0.7738375,0.7634215669953077,0.7674929642623077,0.74655,0.7568766355969255,0.01,"(128,)",0.0001,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,200000,,7.991138042000102,0.7535125,0.7544092927569683,0.75175,0.7530772987390275,0.7535117343073109,0.830504268828125,validation_search,MLP Neural Baseline,word,"(1, 2)",5.0,5000.0,300.0,0.10180000000013933,0.10079345799999828,38657.0,,0.7535156500903997,0.7535125,0.752622007423831,0.755275,0.7539461698755943,0.7544092927569683,0.75175,0.7530772987390275,0.05,"(128,)",0.0001,,,,,,,,,,,,,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1280000,,529.0330807920002,0.8087842007817322,0.8257070751022539,0.8197007395120602,0.8226929446549497,0.8076002647031508,0.8908093701083353,final_evaluation,LSTM Sequence Model,,,,,,3.6311345420003818,3.6311345420003818,1313345.0,,0.8074218080059938,0.8078041463019071,0.7891365409097338,0.795907553091754,0.7925075847513521,0.8257070751022539,0.8197007395120602,0.8226929446549497,,,,,,,,,,,,,any_noise_test,106942.0,29451.40114281911,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1440000,,13.65247649999992,0.7924856464251651,0.7965363648451004,0.8280807243071394,0.812002304225543,0.7902248582897331,0.872506778794584,final_evaluation,Logistic Regression,,,,,,0.003351667000060843,0.0027356670000244776,5001.0,,0.7919056733363057,0.7892900258718267,0.787274981827511,0.750499327436514,0.7684474123539232,0.7965363648451004,0.8280807243071394,0.812002304225543,,,,,,,,,,,,,any_noise_test,106942.0,31907107.716267362,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1440000,,12.86880866699994,0.791961998092424,0.7946021035919826,0.8301886792452831,0.8120056783613872,0.7895699314980476,0.8720677416557494,final_evaluation,Linear SVM,,,,,,0.002627000000074986,0.0021600829998078552,5001.0,,0.7915645109344343,0.7885301200000923,0.788526918276886,0.7468715607549016,0.767134184634708,0.7946021035919826,0.8301886792452831,0.8120056783613872,,,,,,,,,,,,,any_noise_test,106942.0,40708793.29918059,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,200000,,20.24435225000002,0.7529127938508724,0.7654356412247241,0.7835544958186468,0.7743890985468145,0.750653345081679,0.8327232895715546,final_evaluation,MLP Neural Baseline,,,,,,0.07635308400017493,0.06771687500008738,38657.0,,0.7513965358086049,0.7501618727004211,0.7373574303924857,0.7167692495821955,0.7269175916165437,0.7654356412247241,0.7835544958186468,0.7743890985468145,,,,,,,,,,,,,any_noise_test,106942.0,1400624.4986745394,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1280000,,529.0330807920002,0.81745,0.826351229792593,0.8038125,0.8149260540622743,0.8174160427788772,0.899442580078125,final_evaluation,LSTM Sequence Model,,,,,,5.466484083999603,5.466484083999603,1313345.0,,0.8176863350053228,0.81745,0.8090214402180527,0.8310875,0.8199060314954804,0.826351229792593,0.8038125,0.8149260540622743,,,,,,,,,,,,,full_test,160000.0,29269.270255138938,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1440000,,13.65247649999992,0.80088125,0.7925544198257107,0.8151125,0.803675197347745,0.8008409146138431,0.8810788073437499,final_evaluation,Logistic Regression,,,,,,0.003851749999967069,0.003116374999990512,5001.0,,0.8011251957085658,0.80088125,0.8096959715914208,0.78665,0.7980066318799414,0.7925544198257107,0.8151125,0.803675197347745,,,,,,,,,,,,,full_test,160000.0,41539559.94064203,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1440000,,12.86880866699994,0.80041875,0.7903473270915131,0.8177625,0.8038212256181846,0.8003586967652061,0.88077139515625,final_evaluation,Linear SVM,,,,,,0.0042860829998971894,0.00350012500007324,5001.0,,0.8007806560999813,0.80041875,0.8112139851084493,0.783075,0.7968961679122277,0.7903473270915131,0.8177625,0.8038212256181846,,,,,,,,,,,,,full_test,160000.0,37330121.69942531,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,200000,,20.24435225000002,0.75958125,0.7640872385070261,0.75105,0.7575125287609922,0.7595637505144162,0.84073092390625,final_evaluation,MLP Neural Baseline,,,,,,0.17081300000018018,0.46750379200011594,38657.0,,0.7596568436128813,0.75958125,0.7552264487187366,0.7681125,0.76161497226784,0.7640872385070261,0.75105,0.7575125287609922,,,,,,,,,,,,,full_test,160000.0,936696.8556247547,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1280000,,529.0330807920002,0.7964000580635796,0.8173211781206171,0.828989483310471,0.8231139808812773,0.7916479523802482,0.8775784213244222,final_evaluation,LSTM Sequence Model,,,,,,1.1342565840000134,1.1342565840000134,1313345.0,,0.7924393336221482,0.7909681192463478,0.7675574891236793,0.7529467551822246,0.760181923879219,0.8173211781206171,0.828989483310471,0.8231139808812773,,,,,,,,,,,,,high_noise_test,34445.0,30367.908360318226,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1440000,,13.65247649999992,0.7774132675279432,0.7893469466384126,0.8326982675405172,0.8104432961653522,0.7704433194956775,0.8583346991420848,final_evaluation,Logistic Regression,,,,,,0.0014570830001048307,0.0009238750001259177,5001.0,,0.7743240836547081,0.7681984766777237,0.7593012206710036,0.7036986858149302,0.7304433428260029,0.7893469466384126,0.8326982675405172,0.8104432961653522,,,,,,,,,,,,,high_noise_test,34445.0,23639696.570148602,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,1440000,,12.86880866699994,0.7774132675279432,0.7881534772182254,0.8348828938678047,0.810845483926677,0.7702356629352325,0.8579706234344092,final_evaluation,Linear SVM,,,,,,0.0009771669999736332,0.0007897909999883268,5001.0,,0.7745474999184176,0.7678343476248657,0.7609415226186098,0.7007858013819266,0.7296258419437881,0.7881534772182254,0.8348828938678047,0.810845483926677,,,,,,,,,,,,,high_noise_test,34445.0,35249860.05557845,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
,,,,,,200000,,20.24435225000002,0.746058934533314,0.7621536101256112,0.8076512726718488,0.7842431119113983,0.7378480366075739,0.8201565621908496,final_evaluation,MLP Neural Baseline,,,,,,0.022045917000014015,0.021761875000038344,38657.0,,0.7417524509007389,0.7357928494506785,0.7213512916758666,0.6639344262295082,0.6914529613037497,0.7621536101256112,0.8076512726718488,0.7842431119113983,,,,,,,,,,,,,high_noise_test,34445.0,1562420.8328452886,2026-04-26 04:23:19.126010+00:00,42,advanced_tweet_stem,mps
