accuracy,precision,recall,f1,roc_auc,model,split,rows,training_rows,train_time_sec,prediction_time_sec,scoring_time_sec,tweets_per_second,parameter_count
0.7974875,0.7874067096587204,0.815025,0.8009778509391545,0.878336395390625,Linear SVM,full_test,160000,1440000,8.89976491699997,0.0027486669999916558,0.0021895840000070166,58210034.1731049,5001
0.79801875,0.7900249376558603,0.8118,0.8007644647205696,0.8785897378125,Logistic Regression,full_test,160000,1440000,6.215082625000036,0.002718832999960341,0.0019437500000094587,58848778.13471217,5001
0.7825375,0.7929595354745055,0.76475,0.7785993356834697,0.8655948076562501,MLP Neural Baseline,full_test,160000,100000,9.750046417000021,0.07183508399998573,0.06278224999999793,2227323.9076330974,384257
0.7901853341063381,0.7967807852070213,0.8219469210035247,0.8091682258887566,0.8697297842799493,Linear SVM,noisy_test,106942,1440000,8.89976491699997,0.001720666999972309,0.001476458000013281,62151479.63070195,5001
0.7902788427371846,0.7985748458609885,0.8190787200221162,0.8086968389088862,0.870013786306983,Logistic Regression,noisy_test,106942,1440000,6.215082625000036,0.0016465839999568743,0.0013516669999944497,64947794.95173093,5001
0.7729890968936433,0.8000821678009395,0.7739131937245145,0.7867801403490282,0.8569407758858203,MLP Neural Baseline,noisy_test,106942,100000,9.750046417000021,0.05471970799999326,0.037533875000008265,1954359.8441719238,384257
