model,accuracy_delta_any_noise_minus_full,precision_delta_any_noise_minus_full,recall_delta_any_noise_minus_full,f1_delta_any_noise_minus_full,macro_f1_delta_any_noise_minus_full,roc_auc_delta_any_noise_minus_full
LSTM Sequence Model,-0.008665799218267822,-0.0006441546903390716,0.015888239512060198,0.007766890592675435,-0.009815778075726422,-0.008633209969789779
Logistic Regression,-0.008395603574834931,0.003981945019389643,0.012968224307139398,0.00832710687779803,-0.010616056324110001,-0.008572028549165833
Linear SVM,-0.008456751907575999,0.004254776500469459,0.012426179245283109,0.008184452743202564,-0.010788765267158551,-0.008703653500500619
MLP Neural Baseline,-0.0066684561491275884,0.001348402717697983,0.032504495818646784,0.016876569785822304,-0.008910405432737134,-0.008007634334695424
