model,accuracy_delta_high_noise_minus_full,precision_delta_high_noise_minus_full,recall_delta_high_noise_minus_full,f1_delta_high_noise_minus_full,macro_f1_delta_high_noise_minus_full,roc_auc_delta_high_noise_minus_full
LSTM Sequence Model,-0.021049941936420402,-0.009030051671975903,0.025176983310470913,0.008187926819003044,-0.02576809039862904,-0.021864150542328598
Logistic Regression,-0.023467982472056836,-0.003207473187298082,0.017585767540517216,0.006768098817607204,-0.030397595118165643,-0.02274410820166506
Linear SVM,-0.023005482472056804,-0.0021938498732877454,0.01712039386780473,0.007024258308492404,-0.03012303382997361,-0.022800771721840807
MLP Neural Baseline,-0.01352231546668603,-0.0019336283814148647,0.05660127267184878,0.026730583150406106,-0.021715713906842238,-0.02057436171540039
